node,type,is_source,n_activators,activators,n_inhibitors,inhibitors,formula
ABCB19,GENE,True,0,,0,,ABCB19 = gene_modifier + exogenous_supply
Shoot_Branching,PHENOTYPE,False,56,"SMXL678, BES1, TRE6P, D2, ATCRY1, MAX2, Extended period of c, Copper deficiency, ADL1, SLS, Heterologous overexp, SAP11, ES10Y, Cytokinin, shoot meristems, miR156, EBE; (ERF114, nutrient availabilit, FHY3, ASU1, LBO, Overexpression of Gh, HXK1, PERK12, PIN1, environmental condit, A1, CYP86A8, DEFOLIATION, Overexpression of At, ASL39, SPL15, Loss-of-function in , Altered carotenoid p, alterations in carbo, CAND1, initiation and growt, CUC3, CLE42, EBE, CUC2, Verticillium longisp, SUGARS, TDIF, RanBP domain-contain, BRCA1, CLE41, Red Light, ERF114, IPT, MBD9, Decapitation, AXR1, AMS, CUC1, BrMYC2/3-1OE",51,"ABCB19, HB53, SMXL2, NO3, HACR, Nitrogen, WT, BRC1, KAI2, PIN347, PP5, Strigolactone, GR5, Effector protein(s), LCMAX1, low red light to far, CLAMT, CN, bioactive substance, MIR171C, BPTCP19, exogenous applicatio, Sucrose, AUX, production of long-d, Auxin, PHYB, MECLA, CARLACTONE, Overexpression of Cm, BPTCP8, (2R)-isomers, cryptochrome 1, PMF, D14, BPTCP14, SMAX1, remaining MeCLA, Undefined hormone, A. thaliana, Gibberellin, VCTCP18, Overexpression of Md, SPL9, R_FR_Ratio, ARR1, ABA, BRC2, MAX1, AP2, BRC","Shoot_Branching = (max(SMXL678, 0.01) * max(BES1, 0.01) * max(TRE6P, 0.01) * max(D2, 0.01) * max(ATCRY1, 0.01) * max(MAX2, 0.01) * max(Extended period of c, 0.01) * max(Copper deficiency, 0.01) * max(ADL1, 0.01) * max(SLS, 0.01) * max(Heterologous overexp, 0.01) * max(SAP11, 0.01) * max(ES10Y, 0.01) * max(Cytokinin, 0.01) * max(shoot meristems, 0.01) * max(miR156, 0.01) * max(EBE; (ERF114, 0.01) * max(nutrient availabilit, 0.01) * max(FHY3, 0.01) * max(ASU1, 0.01) * max(LBO, 0.01) * max(Overexpression of Gh, 0.01) * max(HXK1, 0.01) * max(PERK12, 0.01) * max(PIN1, 0.01) * max(environmental condit, 0.01) * max(A1, 0.01) * max(CYP86A8, 0.01) * max(DEFOLIATION, 0.01) * max(Overexpression of At, 0.01) * max(ASL39, 0.01) * max(SPL15, 0.01) * max(Loss-of-function in , 0.01) * max(Altered carotenoid p, 0.01) * max(alterations in carbo, 0.01) * max(CAND1, 0.01) * max(initiation and growt, 0.01) * max(CUC3, 0.01) * max(CLE42, 0.01) * max(EBE, 0.01) * max(CUC2, 0.01) * max(Verticillium longisp, 0.01) * max(SUGARS, 0.01) * max(TDIF, 0.01) * max(RanBP domain-contain, 0.01) * max(BRCA1, 0.01) * max(CLE41, 0.01) * max(Red Light, 0.01) * max(ERF114, 0.01) * max(IPT, 0.01) * max(MBD9, 0.01) * max(Decapitation, 0.01) * max(AXR1, 0.01) * max(AMS, 0.01) * max(CUC1, 0.01) * max(BrMYC2/3-1OE, 0.01))^(1/56) * min(1/max(ABCB19 * HB53 * SMXL2 * NO3 * HACR * Nitrogen * WT * BRC1 * KAI2 * PIN347 * PP5 * Strigolactone * GR5 * Effector protein(s) * LCMAX1 * low red light to far * CLAMT * CN * bioactive substance * MIR171C * BPTCP19 * exogenous applicatio * Sucrose * AUX * production of long-d * Auxin * PHYB * MECLA * CARLACTONE * Overexpression of Cm * BPTCP8 * (2R)-isomers * cryptochrome 1 * PMF * D14 * BPTCP14 * SMAX1 * remaining MeCLA * Undefined hormone * A. thaliana * Gibberellin * VCTCP18 * Overexpression of Md * SPL9 * R_FR_Ratio * ARR1 * ABA * BRC2 * MAX1 * AP2 * BRC, 0.1), 10.0) * gene_modifier + exogenous_supply"
SMXL678,GENE,True,0,,0,,SMXL678 = gene_modifier + exogenous_supply
BES1,GENE,True,0,,0,,BES1 = gene_modifier + exogenous_supply
HB53,GENE,True,0,,0,,HB53 = gene_modifier + exogenous_supply
SMXL2,GENE,True,0,,0,,SMXL2 = gene_modifier + exogenous_supply
TRE6P,GENE,True,0,,0,,TRE6P = gene_modifier + exogenous_supply
NO3,GENE,True,0,,0,,NO3 = gene_modifier + exogenous_supply
D2,GENE,True,0,,0,,D2 = gene_modifier + exogenous_supply
HACR,GENE,True,0,,0,,HACR = gene_modifier + exogenous_supply
Nitrogen,METABOLITE,True,0,,0,,Nitrogen = gene_modifier + exogenous_supply
ATCRY1,GENE,True,0,,0,,ATCRY1 = gene_modifier + exogenous_supply
MAX2,GENE,True,0,,0,,MAX2 = gene_modifier + exogenous_supply
Extended period of c,GENE,True,0,,0,,Extended period of c = gene_modifier + exogenous_supply
Copper deficiency,GENE,True,0,,0,,Copper deficiency = gene_modifier + exogenous_supply
