test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T001,F5H1,overexpression,2.0,,,1.0,1.663112,WT,1.0,1.663112,0.7339,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,111,10.1104/pp.109.137059
T002,F5H1,overexpression,2.0,,,1.0,1.663112,WT,1.0,1.663112,0.7339,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,111,10.1128/AEM.03182-12
T003,F5H1,overexpression,2.0,,,1.0,1.663112,WT,1.0,1.663112,0.7339,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,111,10.1046/j.1365-313X.2000.00795.x
T004,F5H1,overexpression,2.0,,,1.0,1.663112,WT,1.0,1.663112,0.7339,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,111,10.1021/jf034176m
T005,COMT1,knockdown,0.1,,,1.0,0.273866,WT,1.0,0.273866,-1.8685,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,3,True,130,10.1104/pp.123.4.1363
T006,COMT1,knockdown,0.1,,,1.0,0.273866,WT,1.0,0.273866,-1.8685,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,3,True,130,10.1104/pp.123.4.1363
T007,CCoAOMT1,knockdown,0.1,,,1.0,0.738705,WT,1.0,0.738705,-0.4369,0.05,decreased,unchanged,False,Lignin_SG_Ratio,1,easy,4,True,182,10.1104/pp.124.2.563
T008,CCR2,knockdown,0.1,,,1.0,0.089916,WT,1.0,0.089916,-3.4753,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,1,True,148,10.1105/tpc.107.054148
T009,CCR2,knockout,0.0,,,1.0,0.0017,WT,1.0,0.0017,-9.2005,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,1,True,152,10.1038/s41467-020-18822-w
T010,CAD1,knockdown,0.1,,,1.0,0.281022,WT,1.0,0.281022,-1.8312,0.05,decreased,unchanged,False,Lignin_SG_Ratio,1,easy,2,True,114,10.1104/pp.112.4.1479
T011,C3H1,knockdown,0.1,,,1.0,1.358783,WT,1.0,1.358783,0.4423,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,219,10.1073/pnas.0706537105
T012,C3H1,knockdown,0.1,,,1.0,1.358783,WT,1.0,1.358783,0.4423,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,219,10.1007/s12155-012-9218-y
T013,C3H1,knockdown,0.1,,,1.0,1.358783,WT,1.0,1.358783,0.4423,0.05,increased,decreased,False,Lignin_SG_Ratio,1,easy,1,True,219,10.3389/fbioe.2021.790539
T014,4CL1,knockdown,0.1,,,1.0,0.993515,WT,1.0,0.993515,-0.0094,0.05,unchanged,decreased,False,Lignin_SG_Ratio,1,easy,9,True,223,10.1104/pp.110.159269
T015,4CL1,knockout_CRISPR,0.0,,,1.0,0.63568,WT,1.0,0.63568,-0.6536,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,9,True,283,10.1104/pp.19.01550
T017,CSE1,knockdown,0.1,,,1.0,0.904846,WT,1.0,0.904846,-0.1443,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,6,True,186,10.1104/pp.17.00920
T018,CSE1;CSE2,double_knockout,0.0,,,1.0,0.299144,WT,1.0,0.299144,-1.7411,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,6,True,219,10.1111/pbi.13651
T019,SND1,overexpression,2.0,,,1.0,1.303076,WT,1.0,1.303076,0.3819,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,3,True,149,10.4161/psb.5.4.11400
T020,SND1,loss_of_function,0.0,,,1.0,4.7e-05,WT,1.0,4.7e-05,-14.3923,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,3,True,172,10.1104/pp.111.181354
T021,MYB3,loss_of_function,0.0,,,1.0,0.050056,WT,1.0,0.050056,-4.3203,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,3,True,235,10.1371/journal.pone.0069219
T022,MYB21,loss_of_function,0.0,,,1.0,0.106954,WT,1.0,0.106954,-3.2249,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,5,True,223,10.1371/journal.pone.0069219
T023,MYB152,overexpression,2.0,,,1.0,2.264449,WT,1.0,2.264449,1.1792,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,137,10.1038/srep05054
T024,MYB156,overexpression,2.0,,,1.0,0.830766,WT,1.0,0.830766,-0.2675,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,2,True,175,10.1038/srep41209
T025,MYB221,overexpression,2.0,,,1.0,0.54675,WT,1.0,0.54675,-0.871,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,2,True,203,10.1038/srep12240
T026,KNAT7,overexpression,2.0,,,1.0,1.269401,WT,1.0,1.269401,0.3441,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,2,True,127,10.3389/fpls.2021.762067
T027,KNAT7,knockdown,0.1,,,1.0,0.138766,WT,1.0,0.138766,-2.8493,0.05,decreased,increased,False,Lignin_SG_Ratio,1,easy,2,True,231,10.3389/fpls.2021.762067
T029,NF_YA11,overexpression,2.0,,,1.0,1.375064,WT,1.0,1.375064,0.4595,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,2,True,105,10.1016/j.indcrop.2024.119891
T030,NF_YA11,knockout_CRISPR,0.0,,,1.0,0.00172,WT,1.0,0.00172,-9.1834,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,2,True,135,10.1016/j.indcrop.2024.119891
T032,SND1_B,loss_of_function,0.0,,,1.0,4.7e-05,WT,1.0,4.7e-05,-14.3923,0.05,decreased,decreased,True,Lignin_SG_Ratio,1,easy,3,True,172,10.1104/pp.111.181354
T033,HCT1,knockdown,0.1,,,1.0,0.979079,WT,1.0,0.979079,-0.0305,0.05,unchanged,unchanged,True,Lignin_SG_Ratio,1,easy,8,True,219,10.1038/s41598-018-28675-5
T034,Tension_Wood,treatment,1.0,Tension_Wood,1.0,1.0,1.499101,WT,1.0,1.499101,0.5841,0.05,increased,increased,True,Lignin_SG_Ratio,1,easy,1,True,60,10.1093/treephys/tpt013
